Step,HitCount,MissCount,AMAT,MissRatio
2750,2062,688,0.00070862,0.250182
2760,2070,690,0.0007107,0.25
2770,2077,693,0.00071377,0.250181
2780,2085,695,0.00071585,0.25
2790,2092,698,0.00071892,0.250179
2800,2100,700,0.000721,0.25
2810,2107,703,0.00072407,0.250178
2820,2115,705,0.00072615,0.25
2830,2122,708,0.00072922,0.250177
2840,2130,710,0.0007313,0.25
2850,2137,713,0.00073437,0.250175
2860,2145,715,0.00073645,0.25
2870,2152,718,0.00073952,0.250174
2880,2160,720,0.0007416,0.25
2890,2167,723,0.00074467,0.250173
2900,2175,725,0.00074675,0.25
2910,2182,728,0.00074982,0.250172
2920,2190,730,0.0007519,0.25
2930,2197,733,0.00075497,0.250171
2940,2205,735,0.00075705,0.25
2950,2212,738,0.00076012,0.250169
2960,2220,740,0.0007622,0.25
2970,2227,743,0.00076527,0.250168
2980,2235,745,0.00076735,0.25
2990,2242,748,0.00077042,0.250167
3000,2250,750,0.0007725,0.25
3010,2257,753,0.00077557,0.250166
3020,2265,755,0.00077765,0.25
3030,2272,758,0.00078072,0.250165
3040,2280,760,0.0007828,0.25
3050,2287,763,0.00078587,0.250164
3060,2295,765,0.00078795,0.25
3070,2302,768,0.00079102,0.250163
3080,2310,770,0.0007931,0.25
3090,2317,773,0.00079617,0.250162
3100,2325,775,0.00079825,0.25
3110,2332,778,0.00080132,0.250161
3120,2340,780,0.0008034,0.25
3130,2347,783,0.00080647,0.25016
3140,2355,785,0.00080855,0.25
3150,2362,788,0.00081162,0.250159
3160,2370,790,0.0008137,0.25
3170,2377,793,0.00081677,0.250158
3180,2385,795,0.00081885,0.25
3190,2392,798,0.00082192,0.250157
3200,2400,800,0.000824,0.25
3210,2407,803,0.00082707,0.250156
3220,2415,805,0.00082915,0.25
3230,2422,808,0.00083222,0.250155
3240,2430,810,0.0008343,0.25
3250,2437,813,0.00083737,0.250154
3260,2445,815,0.00083945,0.25
3270,2452,818,0.00084252,0.250153
3280,2460,820,0.0008446,0.25
3290,2467,823,0.00084767,0.250152
3300,2475,825,0.00084975,0.25
3310,2482,828,0.00085282,0.250151
3320,2490,830,0.0008549,0.25
3330,2497,833,0.00085797,0.25015
3340,2505,835,0.00086005,0.25
3350,2512,838,0.00086312,0.250149
3360,2520,840,0.0008652,0.25
3370,2527,843,0.00086827,0.250148
3380,2535,845,0.00087035,0.25
3390,2542,848,0.00087342,0.250147
3400,2550,850,0.0008755,0.25
3410,2557,853,0.00087857,0.250147
3420,2565,855,0.00088065,0.25
3430,2572,858,0.00088372,0.250146
3440,2580,860,0.0008858,0.25
3450,2587,863,0.00088887,0.250145
3460,2595,865,0.00089095,0.25
3470,2602,868,0.00089402,0.250144
3480,2610,870,0.0008961,0.25
3490,2617,873,0.00089917,0.250143
3500,2625,875,0.00090125,0.25
3510,2632,878,0.00090432,0.250142
3520,2640,880,0.0009064,0.25
3530,2647,883,0.00090947,0.250142
3540,2655,885,0.00091155,0.25
3550,2662,888,0.00091462,0.250141
3560,2670,890,0.0009167,0.25
3570,2677,893,0.00091977,0.25014
3580,2685,895,0.00092185,0.25
3590,2692,898,0.00092492,0.250139
3600,2700,900,0.000927,0.25
3610,2707,903,0.00093007,0.250139
3620,2715,905,0.00093215,0.25
3630,2722,908,0.00093522,0.250138
3640,2730,910,0.0009373,0.25
3650,2737,913,0.00094037,0.250137
3660,2745,915,0.00094245,0.25
3670,2752,918,0.00094552,0.250136
3680,2760,920,0.0009476,0.25
3690,2767,923,0.00095067,0.250136
3700,2775,925,0.00095275,0.25
3710,2782,928,0.00095582,0.250135
3720,2790,930,0.0009579,0.25
3730,2797,933,0.00096097,0.250134
3740,2805,935,0.00096305,0.25
3750,2812,938,0.00096612,0.250133
3760,2820,940,0.0009682,0.25
3770,2827,943,0.00097127,0.250133
3780,2835,945,0.00097335,0.25
3790,2842,948,0.00097642,0.250132
3800,2850,950,0.0009785,0.25
3810,2857,953,0.00098157,0.250131
3820,2865,955,0.00098365,0.25
3830,2872,958,0.00098672,0.250131
3840,2880,960,0.0009888,0.25
3850,2887,963,0.00099187,0.25013
3860,2895,965,0.00099395,0.25
3870,2902,968,0.00099702,0.250129
3880,2910,970,0.0009991,0.25
3890,2917,973,0.00100217,0.250129
3900,2925,975,0.00100425,0.25
3910,2932,978,0.00100732,0.250128
3920,2940,980,0.0010094,0.25
3930,2947,983,0.00101247,0.250127
3940,2955,985,0.00101455,0.25
3950,2962,988,0.00101762,0.250127
3960,2970,990,0.0010197,0.25
3970,2977,993,0.00102277,0.250126
3980,2985,995,0.00102485,0.25
3990,2992,998,0.00102792,0.250125
4000,3000,1000,0.00103,0.25
